RESPONSE_ID,AGE,GENDER,RACE,EDUCATION,PROFESSION,APPS_USED,FREQUENCY_OF_USE,DURATION_OF_USE,MODALITY,USE_CASES,USE_CASES_MORE_DETAILS,DELETE_HISTORY_AWARE,EXPORT_CHAT_AWARE,OPT_OUT_AWARE,BEHAVIOURS_ENGAGED,SHARE_PII,SHARE_DEMOGRAPHICS,SHARE_SEXUAL_ORIENTATION,SHARE_BANKING,SHARE_CREDIT_SCORE,SHARE_PURCHASES,SHARE_RELIGION,SHARE_HOBBIES,SHARE_PERSONAL_LIFE,SHARE_HEALTH,SHARE_PHOTOS,SHARE_WORK,TRAINING_EXPECTATIONS,DELETE_CHATS_LOSE_ACCESS,DELETE_CHATS_ERASURE,DELETE_CHATS_UNLEARN,DELETE_ACCOUNT_LOSE_ACCESS,DELETE_ACCOUNT_DATA_ERASURE,DELETE_ACCOUNT_CHAT_ERASURE,DELETE_ACCOUNT_UNLEARN,TRAINING_AWARE,TRAINING_CONCERN,TRAINING_POSSIBLE,DEV_ACCESS_AWARE,DEV_ACCESS_CONCERNED,DEV_ACCESS_POSSIBLE,LEGAL_ACCESS_AWARE,LEGAL_ACCESS_CONCERN,LEGAL_ACCESS_POSSIBLE,HEALTH_AWARE,HEALTH_CONCERN,HEALTH_POSSIBLE,FINANCE_AWARE,FINANCE_CONCERN,FINANCE_POSSIBLE,EXTRACTION_AWARE,EXTRACTION_CONCERN,EXTRACTION_POSSIBLE,LEAK_AWARE,LEAK_CONCERN,LEAK_POSSIBLE,MEM_AWARE,MEM_CONCERN,MEM_POSSIBLE,EXTENSION_AWARE,EXTENSION_CONCERN,EXTENSION_POSSIBLE,DECEPTION_AWARE,DECEPTION_CONCERN,DECEPTION_POSSIBLE,Challenges,Solutions
R_8CgoNM96RXdq6U2,35 - 44,Woman,White,Master's degree,PhD Psychology student,ChatGPT,Daily,1 - 3 months,Desktop/Web app,"Other, please specify",Assisting me in the PhD writing process,Was not aware,Was not aware,Was not aware,,Not at all willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,Slightly willing,Not at all willing,Very willing,Not at all willing,Moderately willing,Not at all willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,Not at all concerned,Yes,No,Not at all concerned,Yes,No,Not at all concerned,Yes,No,A little concerned,Yes,No,Quite concerned,No,No,Moderately concerned,No,No,Moderately concerned,Yes,No,A little concerned,Yes,No,A little concerned,Yes,No,A little concerned,No,I haven't thought about it much to be honest,I guess just optimising privacy settings
R_8B3CQZ1UByXiSIj,25 - 34,Woman,White,Master's degree,,ChatGPT,Weekly,1 - 3 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Other, please specify",comparing things,Was not aware,Was not aware,Was not aware,,Not at all willing,Slightly willing,Quite willing,Not at all willing,Not at all willing,Not at all willing,Moderately willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,This will never happen,This will never happen,Immediately,This will never happen,This will never happen,This will never happen,Yes,Quite concerned,Yes,No,A little concerned,Yes,Yes,Moderately concerned,Yes,Yes,A little concerned,Yes,Yes,A little concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,Yes,Quite concerned,Yes,No,A little concerned,Yes,Yes,A little concerned,Yes,"Lack of knowledge of how things actually work, so not sure what you're not even being asked permission for",Not really
R_2Vmh9DzMmC2kWKR,45 - 54,Man,White,Bachelor's degree,Self employed author and 3d designer ,"ChatGPT,Microsoft Copilot/Bing",Monthly,3 - 6 months,Desktop/Web app,"Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Other, please specify",Creating code for a Godot game I'm attempting to make ,Was not aware,Was not aware,Was not aware,Removed personal information from prompts either before or after I submit them,Slightly willing,Quite willing,Quite willing,Not at all willing,Slightly willing,Not at all willing,Quite willing,Quite willing,Slightly willing,Moderately willing,Slightly willing,Slightly willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Within a few days,Within a few days,Immediately,Within a few days,Within a few days,Within a few days,No,Moderately concerned,Yes,No,Moderately concerned,Yes,No,A little concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,No,Quite concerned,Yes,No,A little concerned,No,"I hadn't given it much thought until now, I have tried to remain as anonymous as possible but an email address is probably quite easy to track to other sites/users etc",Clear information about data retention and clear opt outs before you use it. 
R_8irscPe0o6S0dM5,45 - 54,Woman,White,Bachelor's degree,Governance officer,ChatGPT,Monthly,6 - 12 months,Mobile app,"Other, please specify",Customer service ,Was not aware,Was not aware,Was not aware,,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Yes,A little concerned,Yes,Yes,A little concerned,Yes,Yes,Moderately concerned,Yes,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,Moderately concerned,No,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,No,Quite concerned,Yes,Yes,Moderately concerned,Yes,I don’t trust them ,No 
R_2Ny6A9wuVTzIkVY,18-24,Man,Asian,A-Level or equivalent,,ChatGPT,Monthly,3 - 6 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Other, please specify",`,Was not aware,Was not aware,Was not aware,,Not at all willing,Quite willing,Quite willing,Not at all willing,Not at all willing,Slightly willing,Very willing,Quite willing,Not at all willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Within a few days,This will never happen,Immediately,Within a few days,Within a few days,This will never happen,No,A little concerned,Yes,Yes,A little concerned,Yes,Yes,Not at all concerned,Yes,No,Quite concerned,Yes,No,Quite concerned,No,No,Quite concerned,No,Yes,Quite concerned,Yes,No,A little concerned,Yes,Yes,Very concerned,No,No,Quite concerned,No,no,
R_8PUBkD9cA0AGKI0,45 - 54,Man,White,Master's degree,Speech and Language Therapist,"ChatGPT,Google Gemini/Bard",Weekly,3 - 6 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",I've used it to help me refine and develop academic ideas and writings. ,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Exported or made a backup of my chat history",Not at all willing,Quite willing,Quite willing,Not at all willing,Slightly willing,Quite willing,Quite willing,Very willing,Quite willing,Quite willing,Moderately willing,Quite willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Immediately,Immediately,This will never happen,Yes,A little concerned,Yes,Yes,Quite concerned,Yes,Yes,A little concerned,Yes,No,Quite concerned,Yes,No,Moderately concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,Yes,A little concerned,Yes,No,Not at all concerned,Yes,No,Not at all concerned,Yes,"I have been working on a theory of child cognitive development. I was very anxious to publish an early version of it (just on a blog) before I submitted it to ChatGPT for feedback, because I didn't like the possibility of immediately losing IP over the ideas. ","My private details are all over the internet. I wouldn't want my prompts leaked, but it's not the worst thing that could happen tbh. Your examples make me think about the possible unethical practices of tech companies, and also third parties getting access to data, and I think some basic precautions should prevent any actionable data getting into the wrong hands. "
R_8TuUUPiFoigVaUo,45 - 54,Man,White,Bachelor's degree,Network Engineer,ChatGPT,Weekly,1 - 3 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Other, please specify",Language study,Was aware,Was aware,Was not aware,Deleted/cleared my chat history,Not at all willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Slightly willing,Slightly willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,Immediately,No,Not at all concerned,Yes,No,Moderately concerned,Yes,Yes,Very concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,Yes,Very concerned,Yes,No,Quite concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,,
R_8IPIvCo3615Gn5E,35 - 44,Woman,White,Bachelor's degree,Online retail business owner,"ChatGPT,Google Gemini/Bard",Daily,More than a year,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",Part time work as an AI data technician analysing AI chatbot responses.,Was aware,Was aware,Was aware,"Read the privacy policy/terms of use of the chatbot,Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history,Used a VPN or private browser while using an AI chatbot to make it harder to track me",Not at all willing,Very willing,Very willing,Not at all willing,Moderately willing,Quite willing,Very willing,Very willing,Very willing,Very willing,Not at all willing,Moderately willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,This will never happen,Immediately,Within a few years,Immediately,This will never happen,Yes,Not at all concerned,Yes,Yes,Moderately concerned,Yes,No,Not at all concerned,No,No,Not at all concerned,No,No,Moderately concerned,No,Yes,Not at all concerned,No,Yes,Moderately concerned,Yes,Yes,Not at all concerned,Yes,Yes,A little concerned,Yes,Yes,Not at all concerned,No,"No, because I am careful about what I share. ","Not for me, personally. But perhaps more warnings before commencing chat, to warn others (who may be vulnerable) not to share personal information/banking details.."
R_2SRNdLwequJu9bj,25 - 34,Woman,White,Master's degree,Content management,"ChatGPT,Google Gemini/Bard,Microsoft Copilot/Bing, Perplexity",Weekly,3 - 6 months,Desktop/Web app,"Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",Product comparisons,Was aware,Was aware,Was aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them",Not at all willing,Slightly willing,Slightly willing,Not at all willing,Not at all willing,Not at all willing,Slightly willing,Slightly willing,Not at all willing,Slightly willing,Not at all willing,Quite willing,"My data will not be used to train models in the future, but patterns that the model has learned from my data will remain in the model.",Immediately,Immediately,Within a few days,Immediately,Immediately,Immediately,Within a few days,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,Yes,Not at all concerned,Yes,No,Very concerned,Yes,No,Very concerned,Yes,Yes,Moderately concerned,No,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Moderately concerned,Yes,Yes,Quite concerned,Yes,"They're somewhat of a ""black box"" as to how they are trained and what they do with the information",Being able to see/download the profile the bot has made for you and for it to be deletable
R_8FhO5kh7AP2eNsC,35 - 44,Man,White,Master's degree,,"ChatGPT,Microsoft Copilot/Bing",Weekly,6 - 12 months,"Desktop/Web app,Mobile app","Work or job-related tasks (e.g., analysing data, generating reports),Personal admin (e.g., job applications, personal emails),Information or advice about general topics (world events, recipes, trivia, etc.),Information or advice about personal topics (e.g., health, finances, relationships),Creative purposes (e.g., brainstorming ideas, writing creative content),Other, please specify",Recipes ,Was aware,Was aware,Was not aware,"Read about how AI chatbots handle user data from another source,Removed personal information from prompts either before or after I submit them,Deleted/cleared my chat history",Not at all willing,Moderately willing,Not at all willing,Not at all willing,Not at all willing,Slightly willing,Not at all willing,Moderately willing,Not at all willing,Not at all willing,Moderately willing,Not at all willing,"My data will not be used to train models in the future, and patterns that the model has learned from my data will be removed from the model.",Immediately,Within a few days,This will never happen,Immediately,Within a few months,Within a few weeks,This will never happen,Yes,Not at all concerned,Yes,No,Very concerned,Yes,Yes,Quite concerned,Yes,No,Quite concerned,Yes,No,Quite concerned,Yes,Yes,A little concerned,No,No,Very concerned,Yes,Yes,Quite concerned,Yes,No,Very concerned,Yes,No,Quite concerned,Yes,,Prompts to warn users
